Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
SGP,2015-06-01,2015-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,99.588797,X,base year is 2015
SGP,2016-06-01,2016-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,102.156810,X,base year is 2015
SGP,2017-06-01,2017-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,103.319264,X,base year is 2015
SGP,2018-06-01,2018-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,104.936082,X,base year is 2015
SGP,2019-06-01,2019-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,105.756700,X,base year is 2015
SGP,2020-06-01,2020-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,110.405451,X,base year is 2015
SGP,2021-06-01,2021-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,110.537089,X,base year is 2015
SGP,2022-06-01,2022-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,,116.765503,X,base year is 2015
SGP,2023-06-01,2023-06-30,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2023,2023,,122.728516,X,base year is 2015
SGP,2000-07-01,2000-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,,71.366425,I,base year is 2015
SGP,2001-07-01,2001-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,,72.457376,I,base year is 2015
SGP,2002-07-01,2002-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,,72.121422,I,base year is 2015
SGP,2003-07-01,2003-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,,72.373365,I,base year is 2015
SGP,2004-07-01,2004-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,,74.123567,I,base year is 2015
SGP,2005-07-01,2005-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,,72.272740,X,base year is 2015
SGP,2006-07-01,2006-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2006,2006,,73.968117,X,base year is 2015
SGP,2007-07-01,2007-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2007,2007,,76.746327,X,base year is 2015
SGP,2008-07-01,2008-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2008,2008,,85.092635,X,base year is 2015
SGP,2009-07-01,2009-07-31,200,'702,Singapore,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2009,2009,,86.124511,X,base year is 2015
